o,d,km,tau_min,tau_max,tau_bar,ratio,profiles
16,20,5.632689952850342,8.783333778381348,21.483333587646484,13.550000190734863,2.44592022895813,38
31,0,3.1703999042510986,7.550000190734863,18.45833396911621,13.466666221618652,2.444812297821045,32
0,7,1.609339952468872,3.75,9.166666984558105,7.233333110809326,2.444444417953491,45
9,2,2.8324384689331055,7.2833333015441895,17.78333282470703,13.116666793823242,2.441647529602051,46
12,11,3.154306411743164,6.2833333015441895,15.333333969116211,11.616666793823242,2.4403183460235596,40
15,3,1.4323126077651978,3.616666793823242,8.800000190734863,6.183333396911621,2.4331796169281006,44
0,19,1.2070050239562988,3.1666667461395264,7.699999809265137,6.0333333015441895,2.4315788745880127,44
2,33,1.8668344020843506,4.716666221618652,11.466666221618652,8.25,2.431095600128174,40
2,5,1.609339952468872,3.366666793823242,8.183333396911621,6.433333396911621,2.4306929111480713,48
7,20,1.2713786363601685,2.866666555404663,6.9666666984558105,5.400000095367432,2.4302327632904053,47
5,9,1.770274043083191,4.550000190734863,11.050000190734863,7.733333110809326,2.4285714626312256,48
6,16,5.455662727355957,10.858333587646484,26.366666793823242,18.983333587646484,2.4282424449920654,35
31,1,4.570525646209717,10.483333587646484,25.41666603088379,18.983333587646484,2.424483299255371,28
17,15,1.609339952468872,2.758333206176758,6.683333396911621,5.650000095367432,2.4229607582092285,43
23,0,2.220889091491699,6.849999904632568,16.58333396911621,11.649999618530273,2.420924663543701,46
25,2,6.598293781280518,11.175000190734863,27.04166603088379,21.91666603088379,2.4198358058929443,32
0,12,1.4323126077651978,3.375,8.166666984558105,5.983333110809326,2.419753074645996,47
31,15,0.9656040072441101,2.2333333492279053,5.400000095367432,4.083333492279053,2.417910575866699,33
6,11,5.214261531829834,11.0,26.59166717529297,21.83333396911621,2.417424201965332,37
0,37,2.7358779907226562,5.275000095367432,12.733333587646484,9.666666984558105,2.4139020442962646,39
17,5,5.4717559814453125,10.766666412353516,25.983333587646484,19.616666793823242,2.4133126735687256,37
18,1,5.310822010040283,11.641666412353516,28.049999237060547,21.5,2.4094488620758057,32
1,14,2.2530760765075684,4.75,11.391666412353516,9.466666221618652,2.3982455730438232,44
10,8,6.469546794891357,12.533333778381348,30.03333282470703,20.516666412353516,2.3962764739990234,38
20,3,3.3796141147613525,8.333333969116211,19.96666717529297,15.516666412353516,2.3959999084472656,37
3,50,1.4001257419586182,3.0999999046325684,7.425000190734863,5.883333206176758,2.3951613903045654,33
14,10,1.6898070573806763,4.050000190734863,9.699999809265137,7.333333492279053,2.395061492919922,46
5,17,5.4717559814453125,10.766666412353516,25.774999618530273,17.299999237060547,2.393962860107422,37
8,10,6.598293781280518,11.024999618530273,26.375,20.683332443237305,2.3922903537750244,38
0,20,2.671504497528076,5.608333587646484,13.416666984558105,10.116666793823242,2.392273426055908,44
14,9,2.2530760765075684,6.208333492279053,14.841667175292969,9.899999618530273,2.390604019165039,44
27,18,2.4140100479125977,5.166666507720947,12.350000381469727,8.649999618530273,2.390322685241699,41
21,7,6.485640048980713,13.925000190734863,33.275001525878906,23.33333396911621,2.389587163925171,34
18,20,2.4461967945098877,5.583333492279053,13.341667175292969,9.883333206176758,2.389552354812622,35
30,5,5.632689952850342,10.533333778381348,25.16666603088379,19.0,2.389240264892578,31
26,3,4.828020095825195,9.383333206176758,22.416667938232422,18.299999237060547,2.3889877796173096,26
1,19,2.574944019317627,5.866666793823242,14.0,10.366666793823242,2.3863635063171387,43
